FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003451,76601,-Pptx,Ln,Paleoproterozoic granulite-facies metamorphics,High-grade metamorphic rocks generally with granulite facies assemblages,Paleoproterozoic,Orosirian,high grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0003452,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003453,76602,-Pppx,Ln,Paleoproterozoic granulite-facies metamorphics,High-grade metamorphic rocks generally with granulite facies assemblages,Paleoproterozoic,Orosirian,high grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0003454,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003456,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003455,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003457,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003458,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003459,76676,-Pnk,Ns,Neoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Cryogenian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003460,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0003461,76684,Plb,Pb,Permian mafic volcanics,Mainly basaltic rocks,Permian,Cisuralian,igneous mafic volcanic,basalt
